date,CSCO,isPartial
2016-08-28,28,False
2016-09-04,27,False
2016-09-11,32,False
2016-09-18,25,False
2016-09-25,24,False
2016-10-02,22,False
2016-10-09,25,False
2016-10-16,18,False
2016-10-23,21,False
2016-10-30,17,False
2016-11-06,33,False
2016-11-13,39,False
2016-11-20,20,False
2016-11-27,23,False
2016-12-04,28,False
2016-12-11,22,False
2016-12-18,18,False
2016-12-25,30,False
2017-01-01,39,False
2017-01-08,34,False
2017-01-15,34,False
2017-01-22,35,False
2017-01-29,29,False
2017-02-05,32,False
2017-02-12,66,False
2017-02-19,35,False
2017-02-26,28,False
2017-03-05,25,False
2017-03-12,25,False
2017-03-19,27,False
2017-03-26,23,False
2017-04-02,21,False
2017-04-09,19,False
2017-04-16,21,False
2017-04-23,24,False
2017-04-30,37,False
2017-05-07,19,False
2017-05-14,57,False
2017-05-21,28,False
2017-05-28,22,False
2017-06-04,21,False
2017-06-11,27,False
2017-06-18,30,False
2017-06-25,28,False
2017-07-02,27,False
2017-07-09,22,False
2017-07-16,27,False
2017-07-23,27,False
2017-07-30,29,False
2017-08-06,21,False
2017-08-13,47,False
2017-08-20,23,False
2017-08-27,23,False
2017-09-03,17,False
2017-09-10,25,False
2017-09-17,34,False
2017-09-24,35,False
2017-10-01,25,False
2017-10-08,23,False
2017-10-15,28,False
2017-10-22,36,False
2017-10-29,27,False
2017-11-05,28,False
2017-11-12,53,False
2017-11-19,29,False
2017-11-26,38,False
2017-12-03,38,False
2017-12-10,37,False
2017-12-17,37,False
2017-12-24,20,False
2017-12-31,40,False
2018-01-07,46,False
2018-01-14,38,False
2018-01-21,46,False
2018-01-28,40,False
2018-02-04,58,False
2018-02-11,100,False
2018-02-18,40,False
2018-02-25,42,False
2018-03-04,33,False
2018-03-11,36,False
2018-03-18,34,False
2018-03-25,31,False
2018-04-01,42,False
2018-04-08,37,False
2018-04-15,38,False
2018-04-22,26,False
2018-04-29,37,False
2018-05-06,40,False
2018-05-13,62,False
2018-05-20,34,False
2018-05-27,30,False
2018-06-03,29,False
2018-06-10,30,False
2018-06-17,36,False
2018-06-24,31,False
2018-07-01,29,False
2018-07-08,39,False
2018-07-15,41,False
2018-07-22,29,False
2018-07-29,27,False
2018-08-05,26,False
2018-08-12,70,False
2018-08-19,35,False
2018-08-26,47,False
2018-09-02,35,False
2018-09-09,33,False
2018-09-16,33,False
2018-09-23,36,False
2018-09-30,45,False
2018-10-07,37,False
2018-10-14,31,False
2018-10-21,29,False
2018-10-28,31,False
2018-11-04,29,False
2018-11-11,48,False
2018-11-18,27,False
2018-11-25,31,False
2018-12-02,44,False
2018-12-09,26,False
2018-12-16,28,False
2018-12-23,32,False
2018-12-30,29,False
2019-01-06,40,False
2019-01-13,27,False
2019-01-20,30,False
2019-01-27,31,False
2019-02-03,22,False
2019-02-10,67,False
2019-02-17,40,False
2019-02-24,43,False
2019-03-03,31,False
2019-03-10,42,False
2019-03-17,40,False
2019-03-24,29,False
2019-03-31,42,False
2019-04-07,37,False
2019-04-14,40,False
2019-04-21,43,False
2019-04-28,34,False
2019-05-05,26,False
2019-05-12,66,False
2019-05-19,41,False
2019-05-26,27,False
2019-06-02,38,False
2019-06-09,40,False
2019-06-16,38,False
2019-06-23,38,False
2019-06-30,35,False
2019-07-07,38,False
2019-07-14,34,False
2019-07-21,31,False
2019-07-28,38,False
2019-08-04,39,False
2019-08-11,82,False
2019-08-18,52,False
2019-08-25,31,False
2019-09-01,27,False
2019-09-08,38,False
2019-09-15,35,False
2019-09-22,27,False
2019-09-29,36,False
2019-10-06,33,False
2019-10-13,32,False
2019-10-20,35,False
2019-10-27,37,False
2019-11-03,30,False
2019-11-10,75,False
2019-11-17,41,False
2019-11-24,26,False
2019-12-01,33,False
2019-12-08,31,False
2019-12-15,42,False
2019-12-22,40,False
2019-12-29,34,False
2020-01-05,39,False
2020-01-12,43,False
2020-01-19,38,False
2020-01-26,38,False
2020-02-02,32,False
2020-02-09,78,False
2020-02-16,31,False
2020-02-23,58,False
2020-03-01,44,False
2020-03-08,61,False
2020-03-15,62,False
2020-03-22,59,False
2020-03-29,42,False
2020-04-05,40,False
2020-04-12,41,False
2020-04-19,37,False
2020-04-26,39,False
2020-05-03,39,False
2020-05-10,92,False
2020-05-17,45,False
2020-05-24,37,False
2020-05-31,49,False
2020-06-07,44,False
2020-06-14,42,False
2020-06-21,36,False
2020-06-28,32,False
2020-07-05,38,False
2020-07-12,33,False
2020-07-19,29,False
2020-07-26,33,False
2020-08-02,39,False
2020-08-09,84,False
2020-08-16,56,False
2020-08-23,37,False
2020-08-30,36,False
2020-09-06,24,False
2020-09-13,28,False
2020-09-20,36,False
2020-09-27,30,False
2020-10-04,37,False
2020-10-11,28,False
2020-10-18,24,False
2020-10-25,29,False
2020-11-01,29,False
2020-11-08,59,False
2020-11-15,33,False
2020-11-22,29,False
2020-11-29,34,False
2020-12-06,34,False
2020-12-13,27,False
2020-12-20,24,False
2020-12-27,27,False
2021-01-03,32,False
2021-01-10,36,False
2021-01-17,27,False
2021-01-24,30,False
2021-01-31,31,False
2021-02-07,50,False
2021-02-14,23,False
2021-02-21,28,False
2021-02-28,22,False
2021-03-07,34,False
2021-03-14,31,False
2021-03-21,33,False
2021-03-28,32,False
2021-04-04,34,False
2021-04-11,25,False
2021-04-18,27,False
2021-04-25,24,False
2021-05-02,24,False
2021-05-09,26,False
2021-05-16,43,False
2021-05-23,26,False
2021-05-30,20,False
2021-06-06,35,False
2021-06-13,26,False
2021-06-20,25,False
2021-06-27,25,False
2021-07-04,25,False
2021-07-11,26,False
2021-07-18,29,False
2021-07-25,25,False
2021-08-01,20,False
2021-08-08,26,False
2021-08-15,42,True
