date,NKE,isPartial
2016-10-09,15,False
2016-10-16,18,False
2016-10-23,24,False
2016-10-30,23,False
2016-11-06,17,False
2016-11-13,18,False
2016-11-20,22,False
2016-11-27,20,False
2016-12-04,19,False
2016-12-11,26,False
2016-12-18,36,False
2016-12-25,20,False
2017-01-01,20,False
2017-01-08,21,False
2017-01-15,21,False
2017-01-22,20,False
2017-01-29,21,False
2017-02-05,21,False
2017-02-12,23,False
2017-02-19,17,False
2017-02-26,16,False
2017-03-05,21,False
2017-03-12,23,False
2017-03-19,30,False
2017-03-26,17,False
2017-04-02,20,False
2017-04-09,19,False
2017-04-16,19,False
2017-04-23,20,False
2017-04-30,20,False
2017-05-07,22,False
2017-05-14,24,False
2017-05-21,21,False
2017-05-28,21,False
2017-06-04,19,False
2017-06-11,21,False
2017-06-18,19,False
2017-06-25,32,False
2017-07-02,19,False
2017-07-09,16,False
2017-07-16,17,False
2017-07-23,23,False
2017-07-30,17,False
2017-08-06,20,False
2017-08-13,17,False
2017-08-20,21,False
2017-08-27,21,False
2017-09-03,20,False
2017-09-10,18,False
2017-09-17,19,False
2017-09-24,30,False
2017-10-01,16,False
2017-10-08,17,False
2017-10-15,23,False
2017-10-22,19,False
2017-10-29,13,False
2017-11-05,21,False
2017-11-12,22,False
2017-11-19,20,False
2017-11-26,18,False
2017-12-03,26,False
2017-12-10,28,False
2017-12-17,27,False
2017-12-24,15,False
2017-12-31,21,False
2018-01-07,19,False
2018-01-14,20,False
2018-01-21,22,False
2018-01-28,18,False
2018-02-04,18,False
2018-02-11,21,False
2018-02-18,15,False
2018-02-25,21,False
2018-03-04,18,False
2018-03-11,19,False
2018-03-18,22,False
2018-03-25,15,False
2018-04-01,22,False
2018-04-08,17,False
2018-04-15,19,False
2018-04-22,18,False
2018-04-29,17,False
2018-05-06,19,False
2018-05-13,26,False
2018-05-20,19,False
2018-05-27,21,False
2018-06-03,20,False
2018-06-10,18,False
2018-06-17,17,False
2018-06-24,31,False
2018-07-01,19,False
2018-07-08,17,False
2018-07-15,13,False
2018-07-22,14,False
2018-07-29,19,False
2018-08-05,19,False
2018-08-12,14,False
2018-08-19,16,False
2018-08-26,14,False
2018-09-02,100,False
2018-09-09,40,False
2018-09-16,24,False
2018-09-23,40,False
2018-09-30,21,False
2018-10-07,21,False
2018-10-14,21,False
2018-10-21,17,False
2018-10-28,22,False
2018-11-04,16,False
2018-11-11,13,False
2018-11-18,22,False
2018-11-25,22,False
2018-12-02,17,False
2018-12-09,19,False
2018-12-16,29,False
2018-12-23,17,False
2018-12-30,17,False
2019-01-06,16,False
2019-01-13,23,False
2019-01-20,17,False
2019-01-27,16,False
2019-02-03,18,False
2019-02-10,17,False
2019-02-17,27,False
2019-02-24,21,False
2019-03-03,18,False
2019-03-10,14,False
2019-03-17,25,False
2019-03-24,21,False
2019-03-31,19,False
2019-04-07,17,False
