date,JNJ,isPartial
2016-09-11,24,False
2016-09-18,21,False
2016-09-25,14,False
2016-10-02,21,False
2016-10-09,19,False
2016-10-16,22,False
2016-10-23,19,False
2016-10-30,17,False
2016-11-06,27,False
2016-11-13,24,False
2016-11-20,19,False
2016-11-27,21,False
2016-12-04,23,False
2016-12-11,22,False
2016-12-18,20,False
2016-12-25,14,False
2017-01-01,18,False
2017-01-08,25,False
2017-01-15,15,False
2017-01-22,29,False
2017-01-29,22,False
2017-02-05,19,False
2017-02-12,24,False
2017-02-19,21,False
2017-02-26,29,False
2017-03-05,26,False
2017-03-12,22,False
2017-03-19,25,False
2017-03-26,23,False
2017-04-02,18,False
2017-04-09,19,False
2017-04-16,25,False
2017-04-23,22,False
2017-04-30,18,False
2017-05-07,19,False
2017-05-14,23,False
2017-05-21,20,False
2017-05-28,21,False
2017-06-04,23,False
2017-06-11,20,False
2017-06-18,24,False
2017-06-25,28,False
2017-07-02,21,False
2017-07-09,24,False
2017-07-16,27,False
2017-07-23,22,False
2017-07-30,25,False
2017-08-06,18,False
2017-08-13,20,False
2017-08-20,22,False
2017-08-27,23,False
2017-09-03,18,False
2017-09-10,20,False
2017-09-17,23,False
2017-09-24,19,False
2017-10-01,25,False
2017-10-08,20,False
2017-10-15,33,False
2017-10-22,24,False
2017-10-29,19,False
2017-11-05,23,False
2017-11-12,18,False
2017-11-19,16,False
2017-11-26,22,False
2017-12-03,20,False
2017-12-10,27,False
2017-12-17,23,False
2017-12-24,20,False
2017-12-31,20,False
2018-01-07,26,False
2018-01-14,31,False
2018-01-21,34,False
2018-01-28,27,False
2018-02-04,38,False
2018-02-11,32,False
2018-02-18,27,False
2018-02-25,30,False
2018-03-04,26,False
2018-03-11,25,False
2018-03-18,28,False
2018-03-25,29,False
2018-04-01,24,False
2018-04-08,25,False
2018-04-15,25,False
2018-04-22,24,False
2018-04-29,25,False
2018-05-06,31,False
2018-05-13,24,False
2018-05-20,23,False
2018-05-27,19,False
2018-06-03,28,False
2018-06-10,24,False
2018-06-17,25,False
2018-06-24,22,False
2018-07-01,22,False
2018-07-08,31,False
2018-07-15,29,False
2018-07-22,26,False
2018-07-29,25,False
2018-08-05,27,False
2018-08-12,25,False
2018-08-19,28,False
2018-08-26,25,False
2018-09-02,22,False
2018-09-09,28,False
2018-09-16,25,False
2018-09-23,25,False
2018-09-30,25,False
2018-10-07,24,False
2018-10-14,27,False
2018-10-21,26,False
2018-10-28,21,False
2018-11-04,27,False
2018-11-11,25,False
2018-11-18,19,False
2018-11-25,24,False
2018-12-02,25,False
2018-12-09,51,False
2018-12-16,61,False
2018-12-23,27,False
2018-12-30,24,False
2019-01-06,29,False
2019-01-13,29,False
2019-01-20,29,False
2019-01-27,29,False
2019-02-03,28,False
2019-02-10,29,False
2019-02-17,30,False
2019-02-24,27,False
2019-03-03,27,False
2019-03-10,29,False
2019-03-17,25,False
2019-03-24,24,False
2019-03-31,22,False
2019-04-07,23,False
2019-04-14,28,False
2019-04-21,27,False
2019-04-28,24,False
2019-05-05,26,False
2019-05-12,26,False
2019-05-19,28,False
2019-05-26,28,False
2019-06-02,26,False
2019-06-09,27,False
2019-06-16,22,False
2019-06-23,25,False
2019-06-30,18,False
2019-07-07,30,False
2019-07-14,37,False
2019-07-21,26,False
2019-07-28,27,False
2019-08-04,23,False
2019-08-11,23,False
2019-08-18,23,False
2019-08-25,50,False
2019-09-01,27,False
2019-09-08,28,False
