date,ADBE,isPartial
2016-10-02,15,False
2016-10-09,23,False
2016-10-16,19,False
2016-10-23,25,False
2016-10-30,11,False
2016-11-06,26,False
2016-11-13,18,False
2016-11-20,25,False
2016-11-27,12,False
2016-12-04,15,False
2016-12-11,38,False
2016-12-18,22,False
2016-12-25,18,False
2017-01-01,20,False
2017-01-08,13,False
2017-01-15,18,False
2017-01-22,35,False
2017-01-29,22,False
2017-02-05,17,False
2017-02-12,25,False
2017-02-19,16,False
2017-02-26,25,False
2017-03-05,24,False
2017-03-12,58,False
2017-03-19,34,False
2017-03-26,32,False
2017-04-02,27,False
2017-04-09,17,False
2017-04-16,16,False
2017-04-23,20,False
2017-04-30,16,False
2017-05-07,19,False
2017-05-14,24,False
2017-05-21,22,False
2017-05-28,21,False
2017-06-04,22,False
2017-06-11,27,False
2017-06-18,65,False
2017-06-25,33,False
2017-07-02,31,False
2017-07-09,38,False
2017-07-16,30,False
2017-07-23,22,False
2017-07-30,27,False
2017-08-06,21,False
2017-08-13,21,False
2017-08-20,26,False
2017-08-27,15,False
2017-09-03,19,False
2017-09-10,32,False
2017-09-17,49,False
2017-09-24,36,False
2017-10-01,33,False
2017-10-08,26,False
2017-10-15,78,False
2017-10-22,33,False
2017-10-29,23,False
2017-11-05,42,False
2017-11-12,33,False
2017-11-19,20,False
2017-11-26,23,False
2017-12-03,44,False
2017-12-10,63,False
2017-12-17,20,False
2017-12-24,14,False
2017-12-31,36,False
2018-01-07,38,False
2018-01-14,31,False
2018-01-21,36,False
2018-01-28,35,False
2018-02-04,47,False
2018-02-11,37,False
2018-02-18,25,False
2018-02-25,36,False
2018-03-04,38,False
2018-03-11,68,False
2018-03-18,66,False
2018-03-25,53,False
2018-04-01,40,False
2018-04-08,47,False
2018-04-15,25,False
2018-04-22,24,False
2018-04-29,23,False
2018-05-06,37,False
2018-05-13,41,False
2018-05-20,43,False
2018-05-27,44,False
2018-06-03,43,False
2018-06-10,76,False
2018-06-17,58,False
2018-06-24,35,False
2018-07-01,28,False
2018-07-08,48,False
2018-07-15,40,False
2018-07-22,45,False
