date,NFLX,isPartial
2016-09-18,9,False
2016-09-25,7,False
2016-10-02,14,False
2016-10-09,9,False
2016-10-16,36,False
2016-10-23,15,False
2016-10-30,8,False
2016-11-06,11,False
2016-11-13,10,False
2016-11-20,6,False
2016-11-27,8,False
2016-12-04,8,False
2016-12-11,7,False
2016-12-18,6,False
2016-12-25,5,False
2017-01-01,8,False
2017-01-08,10,False
2017-01-15,28,False
2017-01-22,12,False
2017-01-29,10,False
2017-02-05,10,False
2017-02-12,9,False
2017-02-19,9,False
2017-02-26,8,False
2017-03-05,8,False
2017-03-12,7,False
2017-03-19,6,False
2017-03-26,8,False
2017-04-02,7,False
2017-04-09,8,False
2017-04-16,21,False
2017-04-23,14,False
2017-04-30,10,False
2017-05-07,10,False
2017-05-14,8,False
2017-05-21,8,False
2017-05-28,9,False
2017-06-04,8,False
2017-06-11,10,False
2017-06-18,9,False
2017-06-25,8,False
2017-07-02,6,False
2017-07-09,11,False
2017-07-16,42,False
2017-07-23,14,False
2017-07-30,10,False
2017-08-06,20,False
2017-08-13,9,False
2017-08-20,8,False
2017-08-27,9,False
2017-09-03,6,False
2017-09-10,8,False
2017-09-17,8,False
2017-09-24,9,False
2017-10-01,15,False
2017-10-08,14,False
2017-10-15,31,False
2017-10-22,10,False
2017-10-29,13,False
2017-11-05,13,False
2017-11-12,9,False
2017-11-19,7,False
2017-11-26,13,False
2017-12-03,12,False
2017-12-10,10,False
2017-12-17,7,False
2017-12-24,7,False
2017-12-31,12,False
2018-01-07,14,False
2018-01-14,13,False
2018-01-21,48,False
2018-01-28,25,False
2018-02-04,22,False
2018-02-11,20,False
2018-02-18,14,False
2018-02-25,20,False
2018-03-04,30,False
2018-03-11,24,False
2018-03-18,20,False
2018-03-25,24,False
2018-04-01,23,False
2018-04-08,26,False
2018-04-15,53,False
2018-04-22,23,False
2018-04-29,17,False
2018-05-06,16,False
2018-05-13,14,False
2018-05-20,24,False
2018-05-27,17,False
2018-06-03,22,False
2018-06-10,24,False
2018-06-17,34,False
2018-06-24,36,False
2018-07-01,20,False
2018-07-08,38,False
2018-07-15,100,False
2018-07-22,40,False
2018-07-29,39,False
2018-08-05,23,False
2018-08-12,27,False
2018-08-19,31,False
2018-08-26,30,False
2018-09-02,24,False
2018-09-09,25,False
2018-09-16,21,False
2018-09-23,24,False
2018-09-30,25,False
2018-10-07,32,False
2018-10-14,67,False
2018-10-21,37,False
2018-10-28,34,False
2018-11-04,27,False
2018-11-11,21,False
2018-11-18,19,False
2018-11-25,23,False
2018-12-02,18,False
2018-12-09,21,False
2018-12-16,19,False
2018-12-23,20,False
2018-12-30,26,False
2019-01-06,36,False
2019-01-13,71,False
2019-01-20,26,False
2019-01-27,21,False
2019-02-03,22,False
2019-02-10,17,False
2019-02-17,15,False
2019-02-24,19,False
2019-03-03,15,False
2019-03-10,15,False
2019-03-17,17,False
2019-03-24,17,False
2019-03-31,15,False
2019-04-07,18,False
2019-04-14,41,False
2019-04-21,21,False
2019-04-28,18,False
2019-05-05,14,False
2019-05-12,15,False
2019-05-19,12,False
2019-05-26,10,False
2019-06-02,11,False
2019-06-09,13,False
2019-06-16,13,False
2019-06-23,12,False
2019-06-30,10,False
2019-07-07,16,False
2019-07-14,47,False
2019-07-21,28,False
2019-07-28,17,False
2019-08-04,16,False
2019-08-11,15,False
2019-08-18,17,False
2019-08-25,12,False
2019-09-01,9,False
2019-09-08,15,False
2019-09-15,16,False
2019-09-22,22,False
2019-09-29,12,False
2019-10-06,14,False
2019-10-13,40,False
2019-10-20,16,False
2019-10-27,12,False
2019-11-03,12,False
2019-11-10,13,False
2019-11-17,12,False
2019-11-24,9,False
2019-12-01,11,False
2019-12-08,11,False
2019-12-15,15,False
2019-12-22,12,False
2019-12-29,9,False
2020-01-05,12,False
2020-01-12,13,False
2020-01-19,31,False
2020-01-26,13,False
2020-02-02,13,False
2020-02-09,12,False
2020-02-16,12,False
2020-02-23,16,False
2020-03-01,15,False
2020-03-08,16,False
2020-03-15,18,False
2020-03-22,19,False
2020-03-29,11,False
2020-04-05,11,False
2020-04-12,29,False
2020-04-19,57,False
2020-04-26,18,False
2020-05-03,15,False
2020-05-10,13,False
2020-05-17,12,False
2020-05-24,12,False
2020-05-31,9,False
2020-06-07,10,False
2020-06-14,10,False
2020-06-21,8,False
2020-06-28,8,False
2020-07-05,18,False
2020-07-12,63,False
2020-07-19,20,False
2020-07-26,17,False
2020-08-02,15,False
2020-08-09,13,False
2020-08-16,10,False
2020-08-23,17,False
2020-08-30,17,False
2020-09-06,12,False
2020-09-13,14,False
2020-09-20,10,False
2020-09-27,11,False
2020-10-04,11,False
2020-10-11,12,False
2020-10-18,31,False
2020-10-25,14,False
2020-11-01,10,False
2020-11-08,13,False
2020-11-15,8,False
2020-11-22,8,False
2020-11-29,9,False
2020-12-06,8,False
2020-12-13,9,False
2020-12-20,6,False
2020-12-27,8,False
2021-01-03,8,False
2021-01-10,11,False
2021-01-17,31,False
2021-01-24,11,False
2021-01-31,8,False
2021-02-07,8,False
2021-02-14,5,False
2021-02-21,7,False
2021-02-28,7,False
2021-03-07,7,False
2021-03-14,6,False
2021-03-21,5,False
2021-03-28,5,False
2021-04-04,7,False
2021-04-11,6,False
2021-04-18,31,False
2021-04-25,12,False
2021-05-02,6,False
2021-05-09,8,False
2021-05-16,7,False
2021-05-23,4,False
2021-05-30,4,False
2021-06-06,5,False
2021-06-13,6,False
2021-06-20,6,False
2021-06-27,6,False
2021-07-04,4,False
2021-07-11,6,False
