date,CTXS,isPartial
2016-08-21,32,False
2016-08-28,12,False
2016-09-04,19,False
2016-09-11,12,False
2016-09-18,6,False
2016-09-25,12,False
2016-10-02,6,False
2016-10-09,18,False
2016-10-16,23,False
2016-10-23,24,False
2016-10-30,12,False
2016-11-06,23,False
2016-11-13,12,False
2016-11-20,6,False
2016-11-27,22,False
2016-12-04,33,False
2016-12-11,6,False
2016-12-18,12,False
2016-12-25,6,False
2017-01-01,6,False
2017-01-08,11,False
2017-01-15,22,False
2017-01-22,27,False
2017-01-29,65,False
2017-02-05,11,False
2017-02-12,11,False
2017-02-19,22,False
2017-02-26,16,False
2017-03-05,31,False
2017-03-12,32,False
2017-03-19,27,False
2017-03-26,33,False
2017-04-02,16,False
2017-04-09,28,False
2017-04-16,11,False
2017-04-23,32,False
2017-04-30,50,False
2017-05-07,22,False
2017-05-14,11,False
2017-05-21,53,False
2017-05-28,12,False
2017-06-04,11,False
2017-06-11,17,False
2017-06-18,28,False
2017-06-25,12,False
2017-07-02,24,False
2017-07-09,47,False
2017-07-16,12,False
2017-07-23,6,False
2017-07-30,34,False
2017-08-06,6,False
2017-08-13,6,False
2017-08-20,6,False
2017-08-27,11,False
2017-09-03,6,False
2017-09-10,5,False
2017-09-17,22,False
2017-09-24,22,False
2017-10-01,27,False
2017-10-08,27,False
2017-10-15,33,False
2017-10-22,16,False
2017-10-29,5,False
2017-11-05,37,False
2017-11-12,11,False
2017-11-19,10,False
2017-11-26,16,False
2017-12-03,16,False
2017-12-10,11,False
2017-12-17,17,False
2017-12-24,12,False
2017-12-31,11,False
2018-01-07,26,False
2018-01-14,10,False
2018-01-21,25,False
2018-01-28,20,False
2018-02-04,10,False
2018-02-11,5,False
2018-02-18,20,False
2018-02-25,40,False
2018-03-04,30,False
2018-03-11,40,False
2018-03-18,10,False
2018-03-25,21,False
2018-04-01,26,False
2018-04-08,5,False
2018-04-15,10,False
2018-04-22,21,False
2018-04-29,21,False
2018-05-06,21,False
2018-05-13,26,False
2018-05-20,16,False
2018-05-27,16,False
2018-06-03,21,False
2018-06-10,5,False
2018-06-17,16,False
2018-06-24,0,False
2018-07-01,15,False
2018-07-08,0,False
2018-07-15,16,False
2018-07-22,31,False
2018-07-29,26,False
2018-08-05,30,False
2018-08-12,10,False
2018-08-19,5,False
2018-08-26,10,False
2018-09-02,15,False
2018-09-09,15,False
2018-09-16,10,False
2018-09-23,20,False
2018-09-30,25,False
2018-10-07,25,False
2018-10-14,15,False
2018-10-21,50,False
2018-10-28,25,False
2018-11-04,20,False
2018-11-11,15,False
2018-11-18,5,False
2018-11-25,15,False
2018-12-02,5,False
2018-12-09,20,False
2018-12-16,26,False
2018-12-23,17,False
2018-12-30,16,False
2019-01-06,25,False
2019-01-13,10,False
2019-01-20,39,False
2019-01-27,29,False
