date,AJG,isPartial
2016-08-21,11,False
2016-08-28,19,False
2016-09-04,7,False
2016-09-11,17,False
2016-09-18,15,False
2016-09-25,11,False
2016-10-02,18,False
2016-10-09,13,False
2016-10-16,13,False
2016-10-23,20,False
2016-10-30,12,False
2016-11-06,12,False
2016-11-13,16,False
2016-11-20,18,False
2016-11-27,15,False
2016-12-04,15,False
2016-12-11,19,False
2016-12-18,7,False
2016-12-25,12,False
2017-01-01,11,False
2017-01-08,15,False
2017-01-15,10,False
2017-01-22,17,False
2017-01-29,13,False
2017-02-05,14,False
2017-02-12,12,False
2017-02-19,16,False
2017-02-26,18,False
2017-03-05,14,False
2017-03-12,17,False
2017-03-19,11,False
2017-03-26,15,False
2017-04-02,17,False
2017-04-09,13,False
2017-04-16,14,False
2017-04-23,23,False
2017-04-30,25,False
2017-05-07,19,False
2017-05-14,16,False
2017-05-21,16,False
2017-05-28,6,False
2017-06-04,20,False
2017-06-11,16,False
2017-06-18,19,False
2017-06-25,14,False
2017-07-02,13,False
2017-07-09,13,False
2017-07-16,19,False
2017-07-23,22,False
2017-07-30,18,False
2017-08-06,10,False
2017-08-13,19,False
2017-08-20,19,False
2017-08-27,17,False
2017-09-03,14,False
2017-09-10,11,False
2017-09-17,15,False
2017-09-24,15,False
2017-10-01,13,False
2017-10-08,16,False
2017-10-15,15,False
2017-10-22,16,False
2017-10-29,13,False
2017-11-05,11,False
2017-11-12,14,False
2017-11-19,13,False
2017-11-26,14,False
2017-12-03,14,False
2017-12-10,17,False
2017-12-17,19,False
2017-12-24,15,False
2017-12-31,9,False
2018-01-07,10,False
2018-01-14,15,False
2018-01-21,14,False
2018-01-28,16,False
2018-02-04,17,False
2018-02-11,23,False
2018-02-18,20,False
2018-02-25,14,False
2018-03-04,23,False
2018-03-11,19,False
2018-03-18,15,False
2018-03-25,19,False
2018-04-01,16,False
2018-04-08,27,False
2018-04-15,28,False
2018-04-22,22,False
2018-04-29,24,False
2018-05-06,22,False
2018-05-13,24,False
2018-05-20,22,False
2018-05-27,19,False
2018-06-03,19,False
2018-06-10,21,False
2018-06-17,27,False
2018-06-24,21,False
2018-07-01,18,False
2018-07-08,23,False
2018-07-15,25,False
2018-07-22,26,False
2018-07-29,27,False
2018-08-05,20,False
2018-08-12,22,False
2018-08-19,30,False
2018-08-26,18,False
2018-09-02,31,False
2018-09-09,17,False
2018-09-16,22,False
2018-09-23,22,False
2018-09-30,20,False
2018-10-07,27,False
2018-10-14,18,False
2018-10-21,17,False
2018-10-28,17,False
2018-11-04,26,False
2018-11-11,30,False
2018-11-18,22,False
2018-11-25,22,False
2018-12-02,25,False
2018-12-09,21,False
2018-12-16,22,False
2018-12-23,12,False
2018-12-30,17,False
2019-01-06,28,False
2019-01-13,21,False
2019-01-20,21,False
2019-01-27,21,False
2019-02-03,23,False
2019-02-10,25,False
2019-02-17,21,False
2019-02-24,24,False
2019-03-03,22,False
2019-03-10,20,False
2019-03-17,20,False
2019-03-24,20,False
2019-03-31,23,False
2019-04-07,21,False
2019-04-14,20,False
2019-04-21,17,False
2019-04-28,14,False
2019-05-05,17,False
2019-05-12,21,False
2019-05-19,23,False
2019-05-26,29,False
2019-06-02,22,False
2019-06-09,22,False
2019-06-16,21,False
2019-06-23,16,False
2019-06-30,19,False
2019-07-07,18,False
2019-07-14,19,False
2019-07-21,24,False
2019-07-28,22,False
2019-08-04,25,False
2019-08-11,29,False
2019-08-18,11,False
2019-08-25,23,False
2019-09-01,20,False
2019-09-08,20,False
2019-09-15,20,False
2019-09-22,13,False
2019-09-29,20,False
2019-10-06,22,False
2019-10-13,23,False
2019-10-20,20,False
2019-10-27,21,False
2019-11-03,23,False
2019-11-10,23,False
2019-11-17,19,False
2019-11-24,24,False
2019-12-01,25,False
2019-12-08,24,False
2019-12-15,22,False
2019-12-22,19,False
2019-12-29,13,False
2020-01-05,21,False
2020-01-12,19,False
2020-01-19,22,False
2020-01-26,22,False
2020-02-02,17,False
2020-02-09,21,False
2020-02-16,20,False
2020-02-23,15,False
2020-03-01,23,False
2020-03-08,19,False
2020-03-15,22,False
2020-03-22,12,False
2020-03-29,18,False
2020-04-05,15,False
2020-04-12,13,False
2020-04-19,16,False
2020-04-26,18,False
2020-05-03,16,False
2020-05-10,11,False
2020-05-17,15,False
2020-05-24,15,False
2020-05-31,17,False
2020-06-07,17,False
2020-06-14,15,False
2020-06-21,100,False
2020-06-28,40,False
2020-07-05,40,False
2020-07-12,32,False
2020-07-19,25,False
2020-07-26,22,False
2020-08-02,31,False
2020-08-09,28,False
2020-08-16,27,False
2020-08-23,19,False
2020-08-30,24,False
2020-09-06,14,False
2020-09-13,20,False
2020-09-20,15,False
2020-09-27,26,False
2020-10-04,15,False
2020-10-11,13,False
2020-10-18,23,False
2020-10-25,17,False
2020-11-01,18,False
2020-11-08,21,False
2020-11-15,15,False
2020-11-22,18,False
2020-11-29,18,False
2020-12-06,12,False
2020-12-13,20,False
2020-12-20,13,False
2020-12-27,11,False
2021-01-03,17,False
2021-01-10,15,False
2021-01-17,18,False
2021-01-24,20,False
2021-01-31,18,False
2021-02-07,22,False
2021-02-14,20,False
2021-02-21,14,False
2021-02-28,12,False
2021-03-07,13,False
2021-03-14,20,False
2021-03-21,19,False
2021-03-28,20,False
2021-04-04,23,False
2021-04-11,20,False
2021-04-18,18,False
2021-04-25,23,False
2021-05-02,25,False
2021-05-09,25,False
2021-05-16,19,False
2021-05-23,20,False
2021-05-30,17,False
2021-06-06,14,False
2021-06-13,18,False
2021-06-20,18,False
2021-06-27,17,False
2021-07-04,16,False
2021-07-11,8,False
2021-07-18,27,False
2021-07-25,22,False
2021-08-01,20,False
2021-08-08,18,True
