date,ETSY,isPartial
2016-08-21,39,False
2016-08-28,42,False
2016-09-04,41,False
2016-09-11,41,False
2016-09-18,41,False
2016-09-25,40,False
2016-10-02,40,False
2016-10-09,40,False
2016-10-16,44,False
2016-10-23,40,False
2016-10-30,41,False
2016-11-06,42,False
2016-11-13,48,False
2016-11-20,48,False
2016-11-27,58,False
2016-12-04,57,False
2016-12-11,53,False
2016-12-18,39,False
2016-12-25,39,False
2017-01-01,41,False
2017-01-08,41,False
2017-01-15,40,False
2017-01-22,40,False
2017-01-29,42,False
2017-02-05,40,False
2017-02-12,38,False
2017-02-19,39,False
2017-02-26,41,False
2017-03-05,41,False
2017-03-12,40,False
2017-03-19,41,False
2017-03-26,39,False
2017-04-02,38,False
2017-04-09,38,False
2017-04-16,39,False
2017-04-23,39,False
2017-04-30,43,False
2017-05-07,41,False
2017-05-14,36,False
2017-05-21,35,False
2017-05-28,38,False
2017-06-04,37,False
2017-06-11,36,False
2017-06-18,35,False
2017-06-25,37,False
2017-07-02,35,False
2017-07-09,39,False
2017-07-16,40,False
2017-07-23,40,False
2017-07-30,42,False
2017-08-06,39,False
2017-08-13,38,False
2017-08-20,39,False
2017-08-27,39,False
2017-09-03,39,False
2017-09-10,38,False
2017-09-17,41,False
2017-09-24,39,False
2017-10-01,40,False
2017-10-08,40,False
2017-10-15,39,False
2017-10-22,38,False
2017-10-29,39,False
2017-11-05,45,False
2017-11-12,46,False
2017-11-19,49,False
2017-11-26,56,False
2017-12-03,56,False
2017-12-10,52,False
2017-12-17,40,False
2017-12-24,37,False
2017-12-31,39,False
2018-01-07,39,False
2018-01-14,40,False
2018-01-21,38,False
2018-01-28,38,False
2018-02-04,40,False
2018-02-11,36,False
2018-02-18,39,False
2018-02-25,38,False
2018-03-04,39,False
2018-03-11,38,False
2018-03-18,36,False
2018-03-25,37,False
2018-04-01,38,False
2018-04-08,37,False
2018-04-15,37,False
2018-04-22,40,False
2018-04-29,38,False
2018-05-06,37,False
2018-05-13,36,False
2018-05-20,33,False
2018-05-27,36,False
2018-06-03,36,False
2018-06-10,36,False
2018-06-17,35,False
2018-06-24,34,False
2018-07-01,34,False
2018-07-08,37,False
2018-07-15,36,False
2018-07-22,36,False
2018-07-29,39,False
2018-08-05,38,False
2018-08-12,37,False
2018-08-19,38,False
2018-08-26,39,False
2018-09-02,38,False
2018-09-09,38,False
2018-09-16,38,False
2018-09-23,37,False
2018-09-30,38,False
2018-10-07,37,False
2018-10-14,38,False
2018-10-21,37,False
2018-10-28,38,False
2018-11-04,45,False
2018-11-11,45,False
2018-11-18,50,False
2018-11-25,55,False
2018-12-02,55,False
2018-12-09,52,False
2018-12-16,42,False
2018-12-23,36,False
2018-12-30,41,False
2019-01-06,39,False
2019-01-13,38,False
2019-01-20,40,False
2019-01-27,40,False
2019-02-03,41,False
2019-02-10,40,False
2019-02-17,39,False
2019-02-24,38,False
2019-03-03,40,False
2019-03-10,39,False
2019-03-17,39,False
2019-03-24,38,False
2019-03-31,37,False
2019-04-07,37,False
2019-04-14,38,False
2019-04-21,39,False
2019-04-28,43,False
2019-05-05,42,False
2019-05-12,39,False
2019-05-19,39,False
2019-05-26,40,False
2019-06-02,41,False
2019-06-09,39,False
2019-06-16,39,False
2019-06-23,37,False
2019-06-30,35,False
2019-07-07,39,False
2019-07-14,39,False
2019-07-21,39,False
2019-07-28,40,False
2019-08-04,39,False
2019-08-11,41,False
2019-08-18,42,False
