date,JPM,isPartial
2016-08-21,28,False
2016-08-28,25,False
2016-09-04,27,False
2016-09-11,22,False
2016-09-18,28,False
2016-09-25,29,False
2016-10-02,23,False
2016-10-09,32,False
2016-10-16,33,False
2016-10-23,30,False
2016-10-30,27,False
2016-11-06,39,False
2016-11-13,38,False
2016-11-20,23,False
2016-11-27,35,False
2016-12-04,33,False
2016-12-11,33,False
2016-12-18,28,False
2016-12-25,21,False
2017-01-01,32,False
2017-01-08,54,False
2017-01-15,35,False
2017-01-22,35,False
2017-01-29,35,False
2017-02-05,33,False
2017-02-12,36,False
2017-02-19,33,False
2017-02-26,40,False
2017-03-05,32,False
2017-03-12,33,False
2017-03-19,32,False
2017-03-26,36,False
2017-04-02,32,False
2017-04-09,37,False
2017-04-16,32,False
2017-04-23,35,False
2017-04-30,27,False
2017-05-07,29,False
2017-05-14,27,False
2017-05-21,29,False
2017-05-28,26,False
2017-06-04,28,False
2017-06-11,32,False
2017-06-18,29,False
2017-06-25,34,False
2017-07-02,28,False
2017-07-09,43,False
2017-07-16,32,False
2017-07-23,34,False
2017-07-30,32,False
2017-08-06,30,False
2017-08-13,27,False
2017-08-20,22,False
2017-08-27,22,False
2017-09-03,21,False
2017-09-10,31,False
2017-09-17,34,False
2017-09-24,27,False
2017-10-01,28,False
2017-10-08,35,False
2017-10-15,36,False
2017-10-22,37,False
2017-10-29,31,False
2017-11-05,38,False
2017-11-12,31,False
2017-11-19,26,False
2017-11-26,35,False
2017-12-03,39,False
2017-12-10,30,False
2017-12-17,33,False
2017-12-24,25,False
2017-12-31,37,False
2018-01-07,49,False
2018-01-14,37,False
2018-01-21,36,False
2018-01-28,35,False
2018-02-04,47,False
2018-02-11,35,False
2018-02-18,31,False
2018-02-25,33,False
2018-03-04,34,False
2018-03-11,38,False
2018-03-18,34,False
2018-03-25,32,False
2018-04-01,33,False
2018-04-08,51,False
2018-04-15,35,False
2018-04-22,32,False
2018-04-29,26,False
2018-05-06,34,False
2018-05-13,33,False
2018-05-20,28,False
2018-05-27,35,False
2018-06-03,30,False
2018-06-10,30,False
2018-06-17,34,False
2018-06-24,34,False
2018-07-01,32,False
2018-07-08,48,False
2018-07-15,38,False
2018-07-22,33,False
2018-07-29,37,False
2018-08-05,35,False
2018-08-12,35,False
2018-08-19,28,False
2018-08-26,31,False
2018-09-02,27,False
2018-09-09,32,False
2018-09-16,32,False
2018-09-23,35,False
2018-09-30,27,False
2018-10-07,45,False
2018-10-14,32,False
2018-10-21,35,False
2018-10-28,37,False
2018-11-04,30,False
2018-11-11,35,False
2018-11-18,26,False
2018-11-25,28,False
2018-12-02,33,False
2018-12-09,35,False
2018-12-16,37,False
2018-12-23,31,False
2018-12-30,36,False
2019-01-06,41,False
2019-01-13,54,False
2019-01-20,32,False
2019-01-27,34,False
2019-02-03,34,False
2019-02-10,47,False
2019-02-17,43,False
2019-02-24,33,False
2019-03-03,33,False
2019-03-10,36,False
2019-03-17,35,False
2019-03-24,38,False
2019-03-31,44,False
2019-04-07,44,False
2019-04-14,41,False
2019-04-21,32,False
2019-04-28,34,False
2019-05-05,31,False
2019-05-12,36,False
2019-05-19,35,False
2019-05-26,26,False
2019-06-02,29,False
2019-06-09,30,False
2019-06-16,31,False
2019-06-23,34,False
2019-06-30,33,False
2019-07-07,35,False
2019-07-14,35,False
2019-07-21,32,False
2019-07-28,33,False
2019-08-04,33,False
2019-08-11,30,False
2019-08-18,29,False
2019-08-25,30,False
2019-09-01,27,False
2019-09-08,34,False
2019-09-15,31,False
2019-09-22,35,False
2019-09-29,39,False
2019-10-06,33,False
2019-10-13,39,False
2019-10-20,33,False
2019-10-27,33,False
2019-11-03,39,False
2019-11-10,30,False
