date,HOLX,isPartial
2016-08-21,26,False
2016-08-28,25,False
2016-09-04,25,False
2016-09-11,25,False
2016-09-18,62,False
2016-09-25,37,False
2016-10-02,60,False
2016-10-09,24,False
2016-10-16,0,False
2016-10-23,0,False
2016-10-30,50,False
2016-11-06,71,False
2016-11-13,12,False
2016-11-20,12,False
2016-11-27,23,False
2016-12-04,0,False
2016-12-11,47,False
2016-12-18,62,False
2016-12-25,25,False
2017-01-01,36,False
2017-01-08,23,False
2017-01-15,23,False
2017-01-22,23,False
2017-01-29,44,False
2017-02-05,22,False
2017-02-12,11,False
2017-02-19,68,False
2017-02-26,22,False
2017-03-05,32,False
2017-03-12,33,False
2017-03-19,45,False
2017-03-26,45,False
2017-04-02,22,False
2017-04-09,23,False
2017-04-16,11,False
2017-04-23,0,False
2017-04-30,0,False
2017-05-07,56,False
2017-05-14,0,False
2017-05-21,36,False
2017-05-28,48,False
2017-06-04,35,False
2017-06-11,12,False
2017-06-18,23,False
2017-06-25,37,False
2017-07-02,37,False
2017-07-09,60,False
2017-07-16,12,False
2017-07-23,24,False
2017-07-30,70,False
2017-08-06,34,False
2017-08-13,58,False
2017-08-20,11,False
2017-08-27,23,False
2017-09-03,35,False
2017-09-10,34,False
2017-09-17,11,False
2017-09-24,23,False
2017-10-01,68,False
2017-10-08,33,False
2017-10-15,23,False
2017-10-22,33,False
2017-10-29,67,False
2017-11-05,76,False
2017-11-12,0,False
2017-11-19,11,False
2017-11-26,32,False
2017-12-03,11,False
2017-12-10,66,False
2017-12-17,34,False
2017-12-24,25,False
2017-12-31,23,False
2018-01-07,43,False
2018-01-14,11,False
2018-01-21,10,False
2018-01-28,21,False
2018-02-04,21,False
2018-02-11,53,False
2018-02-18,21,False
2018-02-25,10,False
2018-03-04,42,False
2018-03-11,31,False
2018-03-18,10,False
2018-03-25,0,False
2018-04-01,11,False
2018-04-08,11,False
2018-04-15,21,False
2018-04-22,43,False
2018-04-29,53,False
2018-05-06,11,False
2018-05-13,43,False
2018-05-20,11,False
2018-05-27,0,False
2018-06-03,21,False
2018-06-10,31,False
2018-06-17,32,False
2018-06-24,21,False
2018-07-01,11,False
2018-07-08,73,False
2018-07-15,33,False
2018-07-22,22,False
2018-07-29,21,False
2018-08-05,31,False
2018-08-12,43,False
2018-08-19,21,False
2018-08-26,21,False
2018-09-02,21,False
2018-09-09,51,False
2018-09-16,20,False
2018-09-23,21,False
2018-09-30,41,False
2018-10-07,10,False
2018-10-14,11,False
2018-10-21,21,False
2018-10-28,0,False
2018-11-04,31,False
2018-11-11,0,False
2018-11-18,10,False
2018-11-25,41,False
2018-12-02,21,False
2018-12-09,10,False
2018-12-16,21,False
2018-12-23,58,False
2018-12-30,34,False
2019-01-06,52,False
2019-01-13,20,False
2019-01-20,61,False
2019-01-27,20,False
2019-02-03,30,False
2019-02-10,40,False
2019-02-17,0,False
2019-02-24,20,False
2019-03-03,0,False
2019-03-10,20,False
2019-03-17,10,False
2019-03-24,20,False
2019-03-31,31,False
2019-04-07,20,False
2019-04-14,75,False
2019-04-21,63,False
2019-04-28,31,False
2019-05-05,41,False
2019-05-12,51,False
2019-05-19,0,False
2019-05-26,20,False
2019-06-02,20,False
2019-06-09,20,False
2019-06-16,20,False
2019-06-23,51,False
2019-06-30,41,False
2019-07-07,30,False
2019-07-14,52,False
2019-07-21,32,False
2019-07-28,52,False
2019-08-04,42,False
2019-08-11,51,False
2019-08-18,51,False
2019-08-25,0,False
2019-09-01,30,False
2019-09-08,48,False
2019-09-15,10,False
2019-09-22,10,False
2019-09-29,39,False
2019-10-06,29,False
2019-10-13,10,False
2019-10-20,56,False
2019-10-27,19,False
2019-11-03,28,False
2019-11-10,28,False
2019-11-17,10,False
2019-11-24,9,False
2019-12-01,10,False
2019-12-08,48,False
2019-12-15,0,False
2019-12-22,31,False
2019-12-29,50,False
2020-01-05,37,False
2020-01-12,0,False
2020-01-19,28,False
2020-01-26,37,False
2020-02-02,18,False
2020-02-09,18,False
2020-02-16,45,False
2020-02-23,17,False
2020-03-01,26,False
2020-03-08,52,False
2020-03-15,84,False
2020-03-22,25,False
2020-03-29,49,False
2020-04-05,25,False
2020-04-12,17,False
2020-04-19,57,False
2020-04-26,97,False
2020-05-03,33,False
2020-05-10,92,False
2020-05-17,50,False
2020-05-24,59,False
2020-05-31,25,False
2020-06-07,17,False
2020-06-14,34,False
2020-06-21,17,False
2020-06-28,26,False
2020-07-05,98,False
2020-07-12,45,False
2020-07-19,54,False
2020-07-26,55,False
2020-08-02,63,False
2020-08-09,44,False
2020-08-16,44,False
2020-08-23,9,False
2020-08-30,34,False
2020-09-06,9,False
2020-09-13,51,False
2020-09-20,26,False
2020-09-27,53,False
2020-10-04,26,False
2020-10-11,19,False
2020-10-18,37,False
2020-10-25,9,False
2020-11-01,78,False
2020-11-08,36,False
2020-11-15,9,False
2020-11-22,27,False
2020-11-29,27,False
2020-12-06,9,False
2020-12-13,45,False
2020-12-20,20,False
2020-12-27,29,False
2021-01-03,27,False
2021-01-10,18,False
2021-01-17,54,False
2021-01-24,64,False
2021-01-31,82,False
2021-02-07,98,False
2021-02-14,100,False
2021-02-21,18,False
2021-02-28,72,False
2021-03-07,72,False
2021-03-14,42,False
2021-03-21,63,False
2021-03-28,19,False
2021-04-04,36,False
2021-04-11,45,False
2021-04-18,82,False
2021-04-25,71,False
2021-05-02,27,False
2021-05-09,46,False
2021-05-16,27,False
2021-05-23,46,False
2021-05-30,9,False
2021-06-06,27,False
2021-06-13,37,False
2021-06-20,19,False
2021-06-27,47,False
2021-07-04,38,False
2021-07-11,47,False
2021-07-18,58,False
2021-07-25,19,False
2021-08-01,28,False
2021-08-08,44,True
