date,BKNG,isPartial
2016-08-21,0,False
2016-08-28,3,False
2016-09-04,10,False
2016-09-11,3,False
2016-09-18,5,False
2016-09-25,2,False
2016-10-02,0,False
2016-10-09,10,False
2016-10-16,5,False
2016-10-23,0,False
2016-10-30,3,False
2016-11-06,2,False
2016-11-13,5,False
2016-11-20,5,False
2016-11-27,2,False
2016-12-04,0,False
2016-12-11,0,False
2016-12-18,0,False
2016-12-25,0,False
2017-01-01,2,False
2017-01-08,0,False
2017-01-15,0,False
2017-01-22,0,False
2017-01-29,0,False
2017-02-05,0,False
2017-02-12,4,False
2017-02-19,0,False
2017-02-26,2,False
2017-03-05,2,False
2017-03-12,0,False
2017-03-19,7,False
2017-03-26,5,False
2017-04-02,2,False
2017-04-09,2,False
2017-04-16,2,False
2017-04-23,2,False
2017-04-30,5,False
2017-05-07,0,False
2017-05-14,5,False
2017-05-21,5,False
2017-05-28,2,False
2017-06-04,5,False
2017-06-11,5,False
2017-06-18,0,False
2017-06-25,0,False
2017-07-02,5,False
2017-07-09,5,False
2017-07-16,7,False
2017-07-23,5,False
2017-07-30,7,False
2017-08-06,0,False
2017-08-13,2,False
2017-08-20,5,False
2017-08-27,2,False
2017-09-03,0,False
2017-09-10,0,False
2017-09-17,0,False
2017-09-24,2,False
2017-10-01,2,False
2017-10-08,5,False
2017-10-15,2,False
2017-10-22,2,False
2017-10-29,5,False
2017-11-05,0,False
2017-11-12,2,False
2017-11-19,0,False
2017-11-26,2,False
2017-12-03,0,False
2017-12-10,2,False
2017-12-17,5,False
2017-12-24,7,False
2017-12-31,0,False
2018-01-07,2,False
2018-01-14,0,False
2018-01-21,4,False
2018-01-28,0,False
2018-02-04,2,False
2018-02-11,6,False
2018-02-18,6,False
2018-02-25,50,False
2018-03-04,40,False
2018-03-11,34,False
2018-03-18,21,False
2018-03-25,24,False
2018-04-01,15,False
2018-04-08,26,False
2018-04-15,26,False
2018-04-22,30,False
2018-04-29,9,False
2018-05-06,100,False
2018-05-13,32,False
2018-05-20,26,False
2018-05-27,15,False
2018-06-03,21,False
2018-06-10,17,False
2018-06-17,21,False
2018-06-24,30,False
2018-07-01,28,False
2018-07-08,19,False
2018-07-15,18,False
2018-07-22,31,False
2018-07-29,19,False
2018-08-05,79,False
2018-08-12,39,False
2018-08-19,24,False
2018-08-26,28,False
2018-09-02,21,False
2018-09-09,19,False
2018-09-16,19,False
2018-09-23,19,False
2018-09-30,12,False
2018-10-07,27,False
2018-10-14,15,False
2018-10-21,15,False
2018-10-28,34,False
2018-11-04,52,False
2018-11-11,27,False
2018-11-18,13,False
2018-11-25,25,False
2018-12-02,4,False
2018-12-09,17,False
2018-12-16,22,False
2018-12-23,19,False
2018-12-30,9,False
2019-01-06,25,False
2019-01-13,19,False
2019-01-20,16,False
2019-01-27,29,False
2019-02-03,33,False
2019-02-10,27,False
2019-02-17,33,False
2019-02-24,71,False
2019-03-03,37,False
2019-03-10,12,False
2019-03-17,17,False
2019-03-24,27,False
2019-03-31,25,False
2019-04-07,21,False
2019-04-14,6,False
2019-04-21,19,False
2019-04-28,17,False
2019-05-05,46,False
2019-05-12,29,False
2019-05-19,23,False
2019-05-26,31,False
2019-06-02,43,False
2019-06-09,26,False
2019-06-16,19,False
2019-06-23,23,False
2019-06-30,15,False
2019-07-07,23,False
2019-07-14,19,False
2019-07-21,24,False
2019-07-28,25,False
2019-08-04,42,False
2019-08-11,8,False
2019-08-18,20,False
2019-08-25,16,False
2019-09-01,18,False
2019-09-08,20,False
2019-09-15,28,False
2019-09-22,18,False
2019-09-29,8,False
2019-10-06,10,False
2019-10-13,14,False
2019-10-20,21,False
2019-10-27,25,False
2019-11-03,77,False
2019-11-10,29,False
2019-11-17,25,False
2019-11-24,13,False
2019-12-01,17,False
2019-12-08,14,False
2019-12-15,20,False
2019-12-22,19,False
2019-12-29,18,False
2020-01-05,19,False
2020-01-12,18,False
2020-01-19,13,False
2020-01-26,22,False
2020-02-02,33,False
2020-02-09,33,False
2020-02-16,27,False
2020-02-23,89,False
2020-03-01,51,False
2020-03-08,79,False
2020-03-15,55,False
2020-03-22,67,False
2020-03-29,40,False
2020-04-05,58,False
2020-04-12,49,False
2020-04-19,77,False
2020-04-26,49,False
2020-05-03,83,False
2020-05-10,44,False
2020-05-17,51,False
2020-05-24,39,False
2020-05-31,42,False
2020-06-07,51,False
2020-06-14,38,False
2020-06-21,33,False
2020-06-28,18,False
2020-07-05,16,False
2020-07-12,40,False
2020-07-19,37,False
2020-07-26,32,False
2020-08-02,43,False
2020-08-09,52,False
2020-08-16,30,False
2020-08-23,39,False
2020-08-30,23,False
2020-09-06,16,False
2020-09-13,19,False
2020-09-20,17,False
2020-09-27,9,False
2020-10-04,18,False
2020-10-11,19,False
2020-10-18,15,False
2020-10-25,22,False
2020-11-01,37,False
2020-11-08,37,False
2020-11-15,20,False
2020-11-22,26,False
2020-11-29,27,False
2020-12-06,42,False
2020-12-13,28,False
2020-12-20,10,False
2020-12-27,18,False
2021-01-03,13,False
2021-01-10,18,False
2021-01-17,9,False
2021-01-24,13,False
2021-01-31,24,False
2021-02-07,13,False
2021-02-14,18,False
2021-02-21,41,False
2021-02-28,22,False
2021-03-07,18,False
2021-03-14,22,False
2021-03-21,29,False
2021-03-28,13,False
2021-04-04,22,False
2021-04-11,26,False
2021-04-18,17,False
2021-04-25,16,False
2021-05-02,28,False
2021-05-09,8,False
2021-05-16,11,False
2021-05-23,15,False
2021-05-30,6,False
2021-06-06,11,False
2021-06-13,19,False
2021-06-20,9,False
2021-06-27,23,False
2021-07-04,13,False
