date,DAL,isPartial
2016-08-21,43,False
2016-08-28,42,False
2016-09-04,44,False
2016-09-11,41,False
2016-09-18,41,False
2016-09-25,41,False
2016-10-02,42,False
2016-10-09,41,False
2016-10-16,42,False
2016-10-23,40,False
2016-10-30,42,False
2016-11-06,40,False
2016-11-13,42,False
2016-11-20,41,False
2016-11-27,43,False
2016-12-04,41,False
2016-12-11,42,False
2016-12-18,42,False
2016-12-25,41,False
2017-01-01,44,False
2017-01-08,47,False
2017-01-15,52,False
2017-01-22,50,False
2017-01-29,50,False
2017-02-05,47,False
2017-02-12,49,False
2017-02-19,48,False
2017-02-26,49,False
2017-03-05,49,False
2017-03-12,49,False
2017-03-19,52,False
2017-03-26,46,False
2017-04-02,46,False
2017-04-09,44,False
2017-04-16,42,False
2017-04-23,42,False
2017-04-30,43,False
2017-05-07,42,False
2017-05-14,43,False
2017-05-21,45,False
2017-05-28,44,False
2017-06-04,42,False
2017-06-11,43,False
2017-06-18,45,False
2017-06-25,45,False
2017-07-02,45,False
2017-07-09,47,False
2017-07-16,44,False
2017-07-23,46,False
2017-07-30,46,False
2017-08-06,45,False
2017-08-13,44,False
2017-08-20,43,False
2017-08-27,45,False
2017-09-03,45,False
2017-09-10,44,False
2017-09-17,43,False
2017-09-24,43,False
2017-10-01,46,False
2017-10-08,43,False
2017-10-15,45,False
2017-10-22,43,False
2017-10-29,42,False
2017-11-05,45,False
2017-11-12,46,False
2017-11-19,44,False
2017-11-26,43,False
2017-12-03,40,False
2017-12-10,42,False
2017-12-17,39,False
2017-12-24,42,False
2017-12-31,44,False
2018-01-07,45,False
2018-01-14,45,False
2018-01-21,45,False
2018-01-28,46,False
2018-02-04,46,False
2018-02-11,45,False
2018-02-18,47,False
2018-02-25,48,False
2018-03-04,45,False
2018-03-11,44,False
2018-03-18,46,False
2018-03-25,44,False
2018-04-01,44,False
2018-04-08,44,False
2018-04-15,44,False
2018-04-22,42,False
2018-04-29,45,False
2018-05-06,47,False
2018-05-13,44,False
2018-05-20,51,False
2018-05-27,46,False
2018-06-03,45,False
2018-06-10,47,False
2018-06-17,45,False
2018-06-24,45,False
2018-07-01,45,False
2018-07-08,48,False
2018-07-15,47,False
2018-07-22,48,False
2018-07-29,49,False
2018-08-05,46,False
2018-08-12,47,False
2018-08-19,47,False
2018-08-26,47,False
2018-09-02,49,False
2018-09-09,50,False
2018-09-16,49,False
2018-09-23,47,False
2018-09-30,49,False
2018-10-07,49,False
2018-10-14,50,False
2018-10-21,48,False
2018-10-28,48,False
2018-11-04,45,False
