date,BRK.B,isPartial
2016-08-21,15,False
2016-08-28,10,False
2016-09-04,5,False
2016-09-11,14,False
2016-09-18,11,False
2016-09-25,13,False
2016-10-02,6,False
2016-10-09,9,False
2016-10-16,8,False
2016-10-23,14,False
2016-10-30,15,False
2016-11-06,22,False
2016-11-13,24,False
2016-11-20,17,False
2016-11-27,24,False
2016-12-04,19,False
2016-12-11,24,False
2016-12-18,21,False
2016-12-25,9,False
2017-01-01,16,False
2017-01-08,15,False
2017-01-15,12,False
2017-01-22,19,False
2017-01-29,15,False
2017-02-05,17,False
2017-02-12,27,False
2017-02-19,22,False
2017-02-26,43,False
2017-03-05,29,False
2017-03-12,15,False
2017-03-19,17,False
2017-03-26,21,False
2017-04-02,25,False
2017-04-09,12,False
2017-04-16,29,False
2017-04-23,26,False
2017-04-30,26,False
2017-05-07,22,False
2017-05-14,22,False
2017-05-21,31,False
2017-05-28,11,False
2017-06-04,18,False
2017-06-11,21,False
2017-06-18,20,False
2017-06-25,24,False
2017-07-02,11,False
2017-07-09,20,False
2017-07-16,9,False
2017-07-23,12,False
2017-07-30,27,False
2017-08-06,25,False
2017-08-13,24,False
2017-08-20,24,False
2017-08-27,12,False
2017-09-03,8,False
2017-09-10,17,False
2017-09-17,21,False
2017-09-24,16,False
2017-10-01,26,False
2017-10-08,20,False
2017-10-15,16,False
2017-10-22,19,False
2017-10-29,22,False
2017-11-05,21,False
2017-11-12,9,False
2017-11-19,18,False
2017-11-26,20,False
2017-12-03,20,False
2017-12-10,25,False
2017-12-17,25,False
2017-12-24,22,False
2017-12-31,34,False
2018-01-07,33,False
2018-01-14,33,False
2018-01-21,48,False
2018-01-28,34,False
2018-02-04,43,False
2018-02-11,30,False
2018-02-18,24,False
2018-02-25,45,False
2018-03-04,32,False
2018-03-11,23,False
2018-03-18,35,False
2018-03-25,22,False
2018-04-01,36,False
2018-04-08,25,False
2018-04-15,19,False
2018-04-22,15,False
2018-04-29,35,False
2018-05-06,39,False
2018-05-13,27,False
2018-05-20,22,False
2018-05-27,24,False
2018-06-03,27,False
2018-06-10,22,False
2018-06-17,17,False
2018-06-24,24,False
2018-07-01,21,False
2018-07-08,21,False
2018-07-15,25,False
2018-07-22,32,False
2018-07-29,26,False
2018-08-05,42,False
2018-08-12,23,False
2018-08-19,29,False
2018-08-26,36,False
2018-09-02,29,False
2018-09-09,17,False
2018-09-16,30,False
2018-09-23,20,False
2018-09-30,33,False
2018-10-07,27,False
2018-10-14,28,False
2018-10-21,35,False
2018-10-28,41,False
2018-11-04,39,False
2018-11-11,34,False
2018-11-18,23,False
2018-11-25,32,False
2018-12-02,30,False
2018-12-09,30,False
2018-12-16,33,False
2018-12-23,29,False
2018-12-30,42,False
2019-01-06,26,False
2019-01-13,34,False
2019-01-20,20,False
2019-01-27,39,False
2019-02-03,36,False
2019-02-10,29,False
2019-02-17,33,False
2019-02-24,35,False
2019-03-03,22,False
2019-03-10,19,False
2019-03-17,20,False
2019-03-24,19,False
2019-03-31,29,False
2019-04-07,22,False
2019-04-14,25,False
2019-04-21,24,False
2019-04-28,46,False
2019-05-05,40,False
2019-05-12,21,False
2019-05-19,24,False
2019-05-26,14,False
2019-06-02,18,False
2019-06-09,13,False
2019-06-16,26,False
2019-06-23,18,False
2019-06-30,18,False
2019-07-07,28,False
2019-07-14,22,False
2019-07-21,20,False
2019-07-28,22,False
2019-08-04,24,False
2019-08-11,21,False
2019-08-18,30,False
2019-08-25,24,False
2019-09-01,22,False
2019-09-08,19,False
2019-09-15,27,False
2019-09-22,25,False
2019-09-29,29,False
2019-10-06,18,False
2019-10-13,25,False
2019-10-20,22,False
2019-10-27,27,False
2019-11-03,27,False
2019-11-10,22,False
2019-11-17,19,False
2019-11-24,12,False
2019-12-01,17,False
2019-12-08,22,False
2019-12-15,22,False
2019-12-22,20,False
2019-12-29,26,False
2020-01-05,31,False
2020-01-12,23,False
2020-01-19,17,False
2020-01-26,25,False
2020-02-02,34,False
2020-02-09,19,False
2020-02-16,31,False
2020-02-23,64,False
2020-03-01,57,False
2020-03-08,89,False
2020-03-15,88,False
2020-03-22,100,False
2020-03-29,78,False
2020-04-05,55,False
2020-04-12,85,False
2020-04-19,52,False
2020-04-26,50,False
2020-05-03,77,False
2020-05-10,73,False
2020-05-17,59,False
2020-05-24,60,False
2020-05-31,54,False
2020-06-07,75,False
2020-06-14,71,False
2020-06-21,54,False
2020-06-28,31,False
2020-07-05,58,False
2020-07-12,59,False
2020-07-19,45,False
2020-07-26,56,False
2020-08-02,60,False
2020-08-09,73,False
2020-08-16,38,False
2020-08-23,58,False
2020-08-30,58,False
2020-09-06,44,False
2020-09-13,34,False
2020-09-20,43,False
2020-09-27,28,False
2020-10-04,33,False
2020-10-11,30,False
2020-10-18,30,False
2020-10-25,39,False
2020-11-01,36,False
2020-11-08,39,False
2020-11-15,38,False
2020-11-22,36,False
2020-11-29,33,False
2020-12-06,28,False
2020-12-13,22,False
2020-12-20,27,False
2020-12-27,31,False
2021-01-03,36,False
2021-01-10,25,False
2021-01-17,25,False
2021-01-24,27,False
2021-01-31,36,False
2021-02-07,30,False
2021-02-14,38,False
2021-02-21,62,False
2021-02-28,63,False
2021-03-07,47,False
2021-03-14,45,False
2021-03-21,30,False
2021-03-28,32,False
2021-04-04,33,False
2021-04-11,31,False
2021-04-18,41,False
2021-04-25,45,False
2021-05-02,62,False
2021-05-09,43,False
2021-05-16,40,False
2021-05-23,46,False
2021-05-30,29,False
2021-06-06,48,False
2021-06-13,34,False
2021-06-20,37,False
2021-06-27,38,False
2021-07-04,28,False
2021-07-11,19,False
2021-07-18,35,False
2021-07-25,30,False
